sprayX,sprayY,in_play_result,batter
0.770137,0.195876,FB,191
0.183799,0.222531,FB,187
0.39398,0.636675,GB,193
0.575302,0.249576,,177
0.665683,0.294146,,182
0.435591,0.567249,,178
0.667869,0.684381,FB,182
0.329337,0.625338,FB,191
0.369941,0.313598,FB,180
0.587853,0.521357,GB,187
0.499076,0.567002,FB,182
0.197798,0.249391,,177
0.506699,0.595861,,187
0.640943,0.623504,FB,191
0.439118,0.500681,GB,178
0.355723,0.626516,GB,182
0.335895,0.582808,GB,191
0.516915,0.538809,GB,180
0.571473,0.559439,GB,187
0.805016,0.308715,FB,178
0.386723,0.6509,,177
0.368368,0.596402,,191
0.79957,0.325457,FB,187
0.226849,0.208598,FB,182
0.421155,0.591404,GB,177
0.808968,0.334417,FB,198
0.632944,0.196662,FB,182
0.3069,0.256522,FB,180
0.780762,0.270336,FB,182
0.355953,0.282192,FB,180
0.468028,0.505755,GB,182
0.323728,0.711083,GB,177
0.434467,0.504604,GB,182
0.339394,0.657297,GB,177
0.575136,0.532665,GB,180
0.602556,0.349374,,178
0.535853,0.137129,FB,182
0.619046,0.310338,FB,177
0.518382,0.501392,GB,180
0.620624,0.209932,LD,187
0.6126,0.360233,LD,198
0.571947,0.364488,FB,185
0.729576,0.33578,LD,182
0.339125,0.364119,LD,177
0.460044,0.577284,GB,185
0.559908,0.5232,GB,178
0.616056,0.62672,,177
0.330565,0.709543,,198
0.594191,0.325309,FB,177
0.46857,0.124891,LD,182
0.581968,0.572631,FB,191
0.578879,0.116574,FB,187
0.360737,0.29131,,178
0.381876,0.706977,GB,182
0.503947,0.297892,LD,177
0.482309,0.598098,,180
0.499009,0.536912,FB,178
0.568393,0.51167,FB,182
0.480403,0.323097,LD,177
0.591821,0.588406,GB,187
0.641522,0.73442,,182
0.485286,0.306233,FB,177
0.378716,0.618151,GB,187
0.384891,0.722318,GB,198
0.1871,0.305181,FB,182
0.786411,0.182517,FB,187
0.361418,0.620776,GB,177
0.32673,0.315896,FB,178
0.34107,0.367345,,177
0.407359,0.525441,,193
0.532827,0.570235,,177
0.587313,0.110055,FB,180
0.50803,0.32027,FB,182
0.356984,0.634212,,191
0.499745,0.509192,GB,193
0.489249,0.547317,GB,182
0.598994,0.154997,FB,187
0.652125,0.374258,FB,191
0.416378,0.579272,,177
0.419955,0.550904,,178
0.424697,0.560001,,178
0.327988,0.588527,GB,192
0.336194,0.734279,GB,182
0.697029,0.296037,FB,177
0.582243,0.541028,GB,180
0.463676,0.542645,GB,187
0.453389,0.530019,GB,191
0.615139,0.243231,FB,178
0.582146,0.521541,FB,199
0.760451,0.370748,FB,192
0.246712,0.33306,,182
0.654892,0.683667,,180
0.520851,0.569352,GB,198
0.471651,0.52368,GB,178
0.576764,0.537126,GB,182
0.335972,0.661699,GB,177
0.597941,0.591046,,192
0.494842,0.22731,FB,187
