sprayX,sprayY,in_play_result,batter
0.52453,0.581849,FB,106
0.467388,0.511746,GB,143
0.429071,0.529786,GB,106
0.783371,0.324152,FB,143
0.441923,0.528695,GB,106
0.607019,0.184736,,108
0.707244,0.252197,,108
0.538098,0.528703,FB,106
0.451418,0.539562,GB,143
0.413503,0.565536,GB,106
0.737869,0.346738,FB,143
0.478889,0.504146,GB,106
0.681237,0.371732,,108
0.836483,0.187064,,108
0.564141,0.282816,FB,143
0.425764,0.507671,GB,106
0.390537,0.671726,GB,105
0.511073,0.566303,GB,106
0.572697,0.569627,FB,143
0.495235,0.181731,FB,105
0.58661,0.547751,FB,108
0.766683,0.255482,,108
0.446673,0.597848,,143
0.507048,0.16032,FB,143
0.418759,0.513633,GB,106
0.396994,0.659902,GB,105
0.591711,0.571982,GB,106
0.548775,0.536915,FB,143
0.480009,0.36939,FB,105
0.553512,0.509704,FB,108
0.667693,0.158379,,108
0.424678,0.585214,,143
0.322282,0.227341,,106
0.489108,0.546377,FB,143
0.714174,0.154077,FB,108
0.366878,0.659994,,106
0.637204,0.623516,,108
0.421792,0.525989,GB,106
0.405251,0.506002,GB,143
0.256917,0.177974,,106
0.447817,0.564118,FB,143
0.806839,0.295318,FB,108
0.387631,0.651803,,106
0.622861,0.742838,,108
0.418125,0.520814,GB,106
0.403662,0.55945,GB,143
0.458099,0.506673,,106
0.539629,0.192914,FB,106
0.413704,0.308126,FB,106
0.422338,0.594212,,106
0.461294,0.170267,FB,106
0.555604,0.177245,FB,106
0.445237,0.556613,,106
0.462326,0.561339,,106
0.485295,0.592221,FB,106
0.448177,0.58453,GB,106
0.485222,0.211003,FB,56
0.475414,0.52347,GB,56
0.673805,0.720225,,106
0.462952,0.567864,FB,106
0.430436,0.572713,GB,106
0.422212,0.343287,FB,56
0.403912,0.599511,GB,56
0.619838,0.586121,,106
0.668894,0.656067,,56
0.22821,0.238973,FB,106
0.534159,0.546285,GB,56
0.416554,0.522684,GB,106
0.609884,0.651442,,56
0.179532,0.159664,FB,106
0.538404,0.515797,GB,56
0.484725,0.567648,GB,106
0.594625,0.524322,FB,108
0.579342,0.561861,,106
0.539881,0.516685,GB,108
0.51387,0.561953,FB,108
0.514063,0.578655,,106
0.594407,0.531212,GB,108
0.610695,0.635587,,106
0.323291,0.194979,FB,108
0.663923,0.629332,,106
0.204247,0.363982,FB,108
0.505991,0.534469,FB,106
0.449684,0.507655,GB,143
0.466662,0.506761,GB,106
0.688922,0.234168,FB,143
0.429075,0.565783,GB,106
0.645025,0.225382,,108
0.610927,0.35183,,108
0.519032,0.360451,FB,143
0.406356,0.541017,GB,106
0.3348,0.630236,GB,105
0.547718,0.528472,GB,106
0.535371,0.511902,FB,143
0.412366,0.202321,FB,105
0.514728,0.505726,FB,108
0.604932,0.350342,,108
0.438145,0.593853,,143
0.198759,0.361273,,106
0.487253,0.553126,FB,143
0.763886,0.208241,FB,108
0.330496,0.653785,,106
0.609361,0.680662,,108
0.449597,0.594557,GB,106
0.444984,0.544187,GB,143
0.481608,0.503562,,106
0.427747,0.312111,FB,106
0.520191,0.314571,FB,106
0.439546,0.5558,,106
0.476493,0.500337,FB,106
0.463131,0.579899,GB,106
0.462171,0.150491,FB,56
0.406638,0.553972,GB,56
0.672729,0.677501,,106
0.652668,0.744573,,56
0.219893,0.303648,FB,106
0.589653,0.524539,GB,56
0.488807,0.521548,GB,106
0.589644,0.585911,FB,108
0.531761,0.527713,,106
0.500928,0.535623,GB,108
0.616992,0.678864,,106
0.16024,0.250477,FB,108
