number,first_name,last_name,school_class,positions,bats,throws,team
1,Kevin,Guiterrez,FR,IF/OF,R,R,William Jessup
2,Kawaiola,Takemura,JR,IF,R,R,William Jessup
3,Ricardo,Torres JR,SR,RHP,R,R,William Jessup
4,Jesus,Duran,SR,IF,R,R,William Jessup
5,Connor,Franco,SO,IF,L,R,William Jessup
6,Anthony,Masetti,JR,IF/OF,R,R,William Jessup
8,Jacob,Gribbin,,OF,R,R,William Jessup
9,Kreighton,Tsuruda-Gaspar,SR,1B,R,R,William Jessup
10,Kevin,Jordan JR,SR,IF,R,R,William Jessup
11,Nick,Kasparian,FR,C,S,R,William Jessup
12,Chase,Marcoe,JR,RHP,R,R,William Jessup
13,Kristian,Hernandez,JR,RHP,R,R,William Jessup
14,Brad,Jones,JR,RHP,R,R,William Jessup
15,Anders,Green,SR,IF/OF,S,R,William Jessup
16,Dylan,Remahl,JR,RHP,R,R,William Jessup
17,Mike,Shoenberger,JR,OF/IF,R,R,William Jessup
19,Max,Moreno,FR,LHP/OF,L,L,William Jessup
20,Dylan,Moser,JR,OF,R,R,William Jessup
21,Jacob,Criss,JR,LHP,L,L,William Jessup
22,Kupono,Decker,SR,RHP/IF,R,R,William Jessup
24,Connor,Braun,SR,1B,R,R,William Jessup
25,Shion,Matsushita,SO,RHP/IF,R,R,William Jessup
27,Jared,Tippit,JR,RHP,R,R,William Jessup
28,Jordan,Yu,SR,RHP/OF,R,R,William Jessup
29,Marlin,Brucato,JR,RHP,R,R,William Jessup
30,Ryan,Tipton,FR,RHP,R,R,William Jessup
31,Aaron,Lopez,FR,1B,R,R,William Jessup
33,Nolan,Murphy,SR,RHP,R,R,William Jessup
34,Josh,Hook,SR,RHP,R,R,William Jessup
35,Shawn,Roberts,JR,RHP,R,R,William Jessup
37,Justin,Culligan,JR,LHP,L,L,William Jessup
38,Joseph,Luevano,FR,C,L,R,William Jessup
39,Jake,Penix,FR,IF,R,R,William Jessup
40,John,Wynne,SO,C,R,R,William Jessup
41,Matt,Meek,FR,C,R,R,William Jessup
42,Brett,Wetteland,SR,RHP,R,R,William Jessup
43,Max,Modeste,JR,OF,L,R,William Jessup
50,Isaiah,Rodriguez,JR,LHP,L,R,William Jessup
