sprayX,sprayY,in_play_result,batter
0.824069,0.158475,FB,38
0.315916,0.184146,FB,15
0.463116,0.355258,FB,38
0.620946,0.628194,FB,4
0.822156,0.371507,FB,2
0.328396,0.669359,FB,15
0.387781,0.210939,FB,38
0.555118,0.295883,FB,4
0.438535,0.12736,FB,2
0.340688,0.165387,FB,15
0.769411,0.318387,FB,8
0.382911,0.62997,FB,4
0.52327,0.52251,FB,2
0.473926,0.564506,GB,8
0.479146,0.59971,,38
0.81293,0.280694,,15
0.59701,0.263047,,20
0.671983,0.336034,FB,15
0.530224,0.584555,,38
0.704287,0.209213,FB,2
0.523949,0.186701,FB,38
0.778419,0.306364,FB,24
0.339594,0.734736,GB,2
0.264814,0.223453,FB,15
0.453528,0.525418,FB,38
0.337415,0.663938,FB,4
0.558022,0.143675,FB,15
0.527694,0.123123,FB,24
0.531174,0.543699,FB,4
0.536832,0.302048,FB,15
0.366407,0.691224,LD,24
0.573873,0.569709,,4
0.363923,0.633171,,4
0.691006,0.305468,FB,20
0.665019,0.658273,FB,4
0.428181,0.108522,FB,43
0.348148,0.689605,GB,2
0.485849,0.553355,GB,2
0.795906,0.197793,FB,43
0.336301,0.683091,FB,11
0.497264,0.327837,FB,15
0.528451,0.101421,FB,43
0.678328,0.657845,,20
0.451961,0.518755,FB,38
0.476129,0.216148,FB,43
0.17661,0.178541,,4
0.52014,0.322168,,20
0.678906,0.73435,,38
0.33686,0.730359,GB,20
0.722619,0.257208,FB,43
0.719905,0.214015,LD,38
0.449395,0.301813,FB,15
0.741059,0.195142,FB,43
0.163498,0.28572,LD,38
0.233915,0.221082,FB,15
0.470416,0.169255,FB,43
0.745769,0.359391,FB,4
0.540599,0.551877,GB,20
0.640603,0.152135,,38
0.55136,0.533491,GB,15
0.364763,0.241997,LD,17
0.608512,0.723944,FB,24
0.569164,0.547615,GB,43
0.63868,0.26837,FB,4
0.692943,0.291982,FB,2
0.615508,0.593974,GB,15
0.293564,0.260544,,17
0.65213,0.604173,FB,24
0.270198,0.344929,FB,15
0.553769,0.125404,LD,17
0.562793,0.563531,,20
0.790062,0.22291,FB,38
0.815024,0.263925,FB,17
0.835639,0.312728,FB,20
0.641682,0.692578,,4
0.374101,0.223568,LD,2
0.475506,0.161675,,15
0.407777,0.539806,GB,2
0.723223,0.25537,FB,15
0.729786,0.324537,FB,38
0.361698,0.656113,FB,4
0.476291,0.546188,GB,2
0.267414,0.161744,LD,17
0.558651,0.531795,FB,38
0.816403,0.30699,FB,2
0.476561,0.25442,FB,15
0.336066,0.669554,GB,20
0.580838,0.194715,LD,28
0.512127,0.152818,FB,2
0.684211,0.217897,,15
0.158215,0.159778,,17
0.502339,0.597377,GB,28
0.641938,0.329786,FB,11
0.385015,0.610303,,28
0.515066,0.575945,FB,6
0.598,0.582689,,40
0.520402,0.573351,GB,2
0.364524,0.705538,,15
0.40206,0.559724,LD,20
0.35181,0.599185,GB,11
0.606049,0.609016,FB,2
0.372155,0.692985,GB,17
0.384949,0.613266,GB,28
0.625174,0.628269,,20
0.157867,0.217937,FB,4
0.407054,0.102029,,15
0.613558,0.656033,,4
0.300683,0.287593,LD,38
0.370215,0.233085,,2
0.333045,0.714817,,4
0.638334,0.724991,,6
0.69201,0.328184,FB,20
0.683627,0.370951,,38
0.486393,0.57244,LD,15
0.382731,0.319206,,15
0.203057,0.290089,,17
0.493634,0.520563,GB,28
0.621954,0.651344,,38
0.510691,0.532962,GB,2
0.720709,0.168005,FB,17
0.604809,0.17494,FB,38
0.816749,0.153951,FB,2
0.723018,0.334713,FB,17
0.544731,0.504508,GB,38
0.444872,0.511863,GB,4
0.496103,0.5045,GB,6
0.490244,0.552546,GB,2
0.413169,0.192462,FB,28
0.339175,0.679756,,20
0.644006,0.692106,,4
0.426899,0.540152,LD,2
0.505151,0.26324,FB,8
0.491169,0.158344,FB,38
0.371957,0.197608,FB,6
0.472852,0.368245,FB,2
0.642851,0.708623,GB,4
0.778304,0.270675,FB,8
0.829124,0.238355,FB,38
0.792977,0.287735,FB,6
0.339026,0.664907,GB,15
0.774052,0.180279,FB,28
0.292184,0.229299,FB,38
0.601573,0.613349,,4
0.783372,0.315861,FB,6
0.645749,0.73821,FB,2
0.627096,0.588598,,4
0.725534,0.237195,FB,2
0.579603,0.157837,FB,15
0.396461,0.609546,GB,2
0.345733,0.324103,FB,40
0.807291,0.272122,,8
0.445763,0.226707,FB,2
0.647984,0.683411,GB,38
0.204411,0.283989,,20
0.444097,0.171177,FB,4
0.189299,0.205025,FB,6
0.70806,0.239854,FB,2
0.46718,0.577751,FB,6
0.637166,0.185228,FB,8
0.600423,0.582447,,40
0.350676,0.209849,FB,15
0.19397,0.253788,,43
0.350324,0.607154,,39
0.677905,0.710691,GB,11
0.36078,0.65956,GB,2
0.717548,0.308928,FB,8
0.543039,0.522363,GB,11
0.3229,0.723153,,39
0.49731,0.554273,,4
0.710235,0.155111,,8
0.211904,0.202114,,43
0.462861,0.562597,,4
